image_id,objects,relationships
2412733,"[{'object_id': 3803326, 'name': 'boy', 'bbox': [2, 210, 498, 399], 'area': 93744, 'attributes': ['boy: sleeping', ' peaceful', ' unaware']}, {'object_id': 3803327, 'name': 'couch', 'bbox': [132, 41, 476, 175], 'area': 46096, 'attributes': ['brown', ' soft', ' comfortable']}, {'object_id': 3803329, 'name': 'ottoman', 'bbox': [222, 128, 482, 288], 'area': 41600, 'attributes': ['brown', ' striped', ' square', ' upholstered']}, {'object_id': 1618076, 'name': 'pants', 'bbox': [338, 218, 498, 399], 'area': 28960, 'attributes': ['plaid', ' blue', ' red']}, {'object_id': 187983, 'name': 'ottoman', 'bbox': [232, 129, 475, 242], 'area': 27459, 'attributes': ['brown', ' striped', ' square', ' upholstered']}]","[{'subject_id': 3803326, 'object_id': 3803324, 'relationships': ['on', ' above']}, {'subject_id': 187982, 'object_id': 187987, 'relationships': ['under', ' covered by']}, {'subject_id': 3803326, 'object_id': 187990, 'relationships': ['wears']}, {'subject_id': 1618086, 'object_id': 3803327, 'relationships': ['on', ' with', ' near']}]"
2410992,"[{'object_id': 317921, 'name': 'sky', 'bbox': [6, 1, 499, 244], 'area': 119799, 'attributes': ['snowy', ' cold', ' white', ' winter']}, {'object_id': 317940, 'name': 'ski lift', 'bbox': [3, 3, 232, 249], 'area': 56334, 'attributes': ['The specified object is a picture of two children on a snowy mountainside. The adjectives that describe it are: snowy', ' mountainous', ' cold', ' wintery', ' icy', ' windy', ' bright', ' sunny', ' clear', ' beautiful', ' peaceful', ' serene', ' tranquil', ' still', ' silent', ' motionless', ' breathtaking', ' picturesque', ' idyllic', ' enchanting', ' magical', ' wondrous', ' awe-inspiring', ' magnificent', ' majestic', ' sublime', ' overwhelming', ' unforgettable.']}, {'object_id': 317927, 'name': 'snow', 'bbox': [1, 235, 496, 330], 'area': 47025, 'attributes': ['white', ' glistening', ' cold']}, {'object_id': 317928, 'name': 'wire', 'bbox': [31, 0, 230, 203], 'area': 40397, 'attributes': ['Two boys', ' one in a blue and white jacket and the other in a black jacket', ' are skiing down a snow-covered slope.']}, {'object_id': 317929, 'name': 'ground', 'bbox': [4, 243, 497, 320], 'area': 37961, 'attributes': ['snowy', ' white']}]","[{'subject_id': 317930, 'object_id': 317935, 'relationships': ['wearing']}, {'subject_id': 317940, 'object_id': 317939, 'relationships': ['near']}, {'subject_id': 317923, 'object_id': 317932, 'relationships': ['worn by']}, {'subject_id': 317938, 'object_id': 317927, 'relationships': ['on', ' above', ' touching']}, {'subject_id': 317928, 'object_id': 317940, 'relationships': ['attached to']}, {'subject_id': 317932, 'object_id': 317937, 'relationships': ['holding']}, {'subject_id': 317922, 'object_id': 317930, 'relationships': ['worn by']}, {'subject_id': 317940, 'object_id': 317938, 'relationships': ['near', ' above']}, {'subject_id': 317926, 'object_id': 317921, 'relationships': ['in']}, {'subject_id': 317927, 'object_id': 317929, 'relationships': ['on', ' above', ' covering']}, {'subject_id': 317938, 'object_id': 317935, 'relationships': ['wearing']}, {'subject_id': 317935, 'object_id': 317936, 'relationships': ['on', ' under', ' inside']}, {'subject_id': 317938, 'object_id': 317922, 'relationships': ['wearing']}, {'subject_id': 317932, 'object_id': 317936, 'relationships': ['wearing']}, {'subject_id': 317946, 'object_id': 317947, 'relationships': ['on']}]"
2410848,"[{'object_id': 319692, 'name': 'bed', 'bbox': [3, 10, 498, 403], 'area': 194535, 'attributes': ['plaid', ' messy', ' unmade']}, {'object_id': 319694, 'name': 'dog', 'bbox': [72, 102, 337, 347], 'area': 64925, 'attributes': ['brown', ' sitting', ' fat', ' shiba inu']}, {'object_id': 319691, 'name': 'dog', 'bbox': [356, 133, 457, 338], 'area': 20705, 'attributes': ['dog: brown', ' sitting', ' happy']}, {'object_id': 319697, 'name': 'pillow', 'bbox': [7, 14, 197, 100], 'area': 16340, 'attributes': ['white', ' fluffy', ' soft']}, {'object_id': 319693, 'name': 'bedspread', 'bbox': [76, 126, 189, 200], 'area': 8362, 'attributes': ['gingham', ' blue', ' white']}]","[{'subject_id': 319691, 'object_id': 319692, 'relationships': ['on', ' above']}, {'subject_id': 319689, 'object_id': 319698, 'relationships': ['attached to']}, {'subject_id': 319697, 'object_id': 319692, 'relationships': ['on', ' above']}, {'subject_id': 319694, 'object_id': 319699, 'relationships': ['has']}, {'subject_id': 319694, 'object_id': 319692, 'relationships': ['on', ' above']}, {'subject_id': 319699, 'object_id': 319691, 'relationships': ['part of']}]"
2410166,"[{'object_id': 224415, 'name': 'asphalt', 'bbox': [1, 1, 498, 141], 'area': 69580, 'attributes': ['tennis court: green', ' hard', ' rectangular']}, {'object_id': 224430, 'name': 'lines', 'bbox': [2, 143, 282, 332], 'area': 52920, 'attributes': ['white', ' parallel', ' four']}, {'object_id': 224420, 'name': 'tennis court', 'bbox': [2, 148, 270, 332], 'area': 49312, 'attributes': ['tennis court: blue', ' hard', ' rectangular']}, {'object_id': 224438, 'name': 'line', 'bbox': [194, 143, 282, 333], 'area': 16720, 'attributes': ['white', ' parallel', ' close']}, {'object_id': 224429, 'name': 'dress', 'bbox': [207, 148, 268, 222], 'area': 4514, 'attributes': ['white', ' short', ' pleated']}]","[{'subject_id': 224414, 'object_id': 224415, 'relationships': ['on']}, {'subject_id': 224414, 'object_id': 224420, 'relationships': ['on', ' marking']}]"
2406384,"[{'object_id': 369369, 'name': 'ground', 'bbox': [0, 0, 499, 330], 'area': 164670, 'attributes': ['brown', ' corduroy', ' worn']}, {'object_id': 369364, 'name': 'dog', 'bbox': [207, 79, 499, 330], 'area': 73292, 'attributes': ['dog: brown', ' wearing hat']}, {'object_id': 369365, 'name': 'hat', 'bbox': [206, 11, 467, 201], 'area': 49590, 'attributes': ['brown', ' corduroy', ' worn']}, {'object_id': 369375, 'name': 'tongue', 'bbox': [228, 195, 293, 232], 'area': 2405, 'attributes': ['pink', ' wet']}, {'object_id': 369367, 'name': 'eye', 'bbox': [327, 125, 360, 148], 'area': 759, 'attributes': ['brown', ' happy', ' dog', ' wearing', ' hat']}]","[{'subject_id': 369364, 'object_id': 369365, 'relationships': ['wearing']}, {'subject_id': 369364, 'object_id': 369368, 'relationships': ['has']}, {'subject_id': 369364, 'object_id': 369367, 'relationships': ['has']}]"
2406152,"[{'object_id': 1103314, 'name': 'bed frame', 'bbox': [106, 26, 368, 457], 'area': 112922, 'attributes': ['wooden', ' brown']}, {'object_id': 1103320, 'name': 'bedspread', 'bbox': [77, 135, 361, 298], 'area': 46292, 'attributes': ['green', ' quilted', ' unmade']}, {'object_id': 1103325, 'name': 'computer desk', 'bbox': [12, 73, 154, 284], 'area': 29962, 'attributes': ['brown', ' wooden', ' cluttered']}, {'object_id': 1103319, 'name': 'carrying case', 'bbox': [77, 347, 204, 490], 'area': 18161, 'attributes': ['black', ' open', ' laptop']}, {'object_id': 1103330, 'name': 'backpack', 'bbox': [270, 243, 369, 413], 'area': 16830, 'attributes': ['blue', ' unzipped', ' hanging']}]","[{'subject_id': 1103315, 'object_id': 1103317, 'relationships': ['next to']}, {'subject_id': 1103331, 'object_id': 1103325, 'relationships': ['on', ' above']}, {'subject_id': 1103328, 'object_id': 1103329, 'relationships': ['connected to']}, {'subject_id': 1103324, 'object_id': 1103325, 'relationships': ['on', ' above']}, {'subject_id': 1103332, 'object_id': 1103328, 'relationships': ['under']}, {'subject_id': 1103330, 'object_id': 1103333, 'relationships': ['leaning against']}, {'subject_id': 1103327, 'object_id': 1103322, 'relationships': ['on', ' above']}]"
2404959,"[{'object_id': 655429, 'name': 'sky', 'bbox': [2, 1, 371, 141], 'area': 51660, 'attributes': ['busy', ' colorful', ' crowded']}, {'object_id': 655413, 'name': 'ground', 'bbox': [2, 386, 371, 499], 'area': 41697, 'attributes': ['asphalt', ' wet']}, {'object_id': 655402, 'name': 'umbrella', 'bbox': [76, 144, 302, 282], 'area': 31188, 'attributes': ['green', ' white', ' large', ' open']}, {'object_id': 655433, 'name': 'roof', 'bbox': [1, 129, 358, 179], 'area': 17850, 'attributes': ['red', ' corrugated', ' metal']}, {'object_id': 655399, 'name': 'banner', 'bbox': [47, 69, 296, 134], 'area': 16185, 'attributes': ['blue', ' white', ' rectangular', ' hanging']}]","[{'subject_id': 655402, 'object_id': 655412, 'relationships': ['above', ' shading']}, {'subject_id': 655431, 'object_id': 655402, 'relationships': ['under']}, {'subject_id': 655412, 'object_id': 655407, 'relationships': ['in']}, {'subject_id': 655423, 'object_id': 655413, 'relationships': ['on']}, {'subject_id': 655421, 'object_id': 655422, 'relationships': ['sitting on']}, {'subject_id': 655411, 'object_id': 655402, 'relationships': ['under']}, {'subject_id': 655401, 'object_id': 655413, 'relationships': ['on', ' above']}, {'subject_id': 655402, 'object_id': 655411, 'relationships': ['above', ' covering']}, {'subject_id': 655402, 'object_id': 655410, 'relationships': ['above']}, {'subject_id': 655421, 'object_id': 655432, 'relationships': ['wearing']}, {'subject_id': 655402, 'object_id': 655409, 'relationships': ['above', ' over']}]"
2403624,"[{'object_id': 380560, 'name': 'sky', 'bbox': [0, 1, 500, 236], 'area': 117500, 'attributes': ['blue', ' cloudy', ' bright']}, {'object_id': 380559, 'name': 'clouds', 'bbox': [131, 38, 500, 206], 'area': 61992, 'attributes': ['wispy', ' white', ' fluffy']}, {'object_id': 380557, 'name': 'sand', 'bbox': [0, 251, 499, 374], 'area': 61377, 'attributes': ['wet', ' packed']}, {'object_id': 380561, 'name': 'trees', 'bbox': [0, 209, 500, 255], 'area': 23000, 'attributes': ['green', ' tall']}, {'object_id': 380558, 'name': 'water', 'bbox': [1, 241, 457, 288], 'area': 21432, 'attributes': ['blue', ' calm', ' wide']}]","[{'subject_id': 380563, 'object_id': 380560, 'relationships': ['in', ' under']}, {'subject_id': 380553, 'object_id': 380554, 'relationships': ['wearing']}, {'subject_id': 380559, 'object_id': 380560, 'relationships': ['in', ' below', ' above']}, {'subject_id': 380553, 'object_id': 380557, 'relationships': ['on', ' standing on', ' walking on']}, {'subject_id': 380561, 'object_id': 380557, 'relationships': ['near', ' behind']}, {'subject_id': 380553, 'object_id': 380563, 'relationships': ['flying']}, {'subject_id': 380558, 'object_id': 380557, 'relationships': ['next to', ' touching', ' meets']}, {'subject_id': 380553, 'object_id': 380556, 'relationships': ['wearing']}, {'subject_id': 380553, 'object_id': 380555, 'relationships': ['on']}, {'subject_id': 380560, 'object_id': 380559, 'relationships': ['in']}, {'subject_id': 380562, 'object_id': 380561, 'relationships': ['near', ' behind']}]"
2402546,"[{'object_id': 388665, 'name': 'lines', 'bbox': [2, 7, 497, 146], 'area': 68805, 'attributes': ['red', ' parallel', ' straight']}, {'object_id': 388655, 'name': 'pole', 'bbox': [217, 6, 266, 407], 'area': 19649, 'attributes': ['telephone', ' wooden']}, {'object_id': 388671, 'name': 'sign', 'bbox': [61, 270, 171, 312], 'area': 4620, 'attributes': ['blue', ' plastic', ' small']}, {'object_id': 388670, 'name': 'sign', 'bbox': [64, 234, 170, 274], 'area': 4240, 'attributes': ['red', ' white', ' black', ' yellow', ' blue', ' green']}, {'object_id': 388659, 'name': 'post', 'bbox': [104, 303, 124, 360], 'area': 1140, 'attributes': ['small', ' wooden', ' brown']}]",[]
2398583,"[{'object_id': 4292549, 'name': 'field', 'bbox': [1, 2, 484, 330], 'area': 158424, 'attributes': ['grizzly', ' brown', ' large', ' wild']}, {'object_id': 4316846, 'name': 'hill', 'bbox': [255, 14, 498, 268], 'area': 61722, 'attributes': ['grassy', ' green', ' brown', ' rocky']}, {'object_id': 4316845, 'name': 'grass', 'bbox': [50, 72, 180, 286], 'area': 27820, 'attributes': ['green', ' long', ' wild']}, {'object_id': 4316806, 'name': 'dirt path', 'bbox': [205, 129, 498, 202], 'area': 21389, 'attributes': ['narrow', ' winding', ' dirt']}, {'object_id': 4316867, 'name': 'patch', 'bbox': [246, 132, 498, 201], 'area': 17388, 'attributes': ['brown', ' four-legged', ' furry']}]",[]
2398344,"[{'object_id': 426169, 'name': 'blue skies', 'bbox': [3, 2, 329, 243], 'area': 78566, 'attributes': ['young', ' male', ' skateboarding', ' focused']}, {'object_id': 426171, 'name': 'gray street', 'bbox': [1, 330, 332, 498], 'area': 55608, 'attributes': ['asphalt', ' gray']}, {'object_id': 426176, 'name': 'black street', 'bbox': [10, 314, 292, 498], 'area': 51888, 'attributes': ['asphalt', ' black', ' empty', ' straight']}, {'object_id': 426164, 'name': 'boy', 'bbox': [66, 149, 226, 402], 'area': 40480, 'attributes': ['boy: in motion', ' skateboarding', ' wearing a helmet']}, {'object_id': 426177, 'name': 'green grass', 'bbox': [10, 277, 333, 366], 'area': 28747, 'attributes': ['green', ' grass']}]","[{'subject_id': 3820286, 'object_id': 426173, 'relationships': ['wearing']}, {'subject_id': 3820283, 'object_id': 426170, 'relationships': ['on', ' covering']}, {'subject_id': 3820286, 'object_id': 3820287, 'relationships': ['wears']}, {'subject_id': 3820289, 'object_id': 426180, 'relationships': ['attached to']}]"
2397915,"[{'object_id': 429729, 'name': 'strip', 'bbox': [5, 4, 499, 284], 'area': 138320, 'attributes': ['busy', ' bright', ' colorful', ' crowded', ' lively', ' loud', ' neon', ' nighttime', ' urban']}, {'object_id': 429730, 'name': 'businesses', 'bbox': [0, 0, 498, 277], 'area': 137946, 'attributes': ['busy', ' bright', ' colorful', ' lively', ' urban']}, {'object_id': 429720, 'name': 'lights', 'bbox': [3, 0, 495, 279], 'area': 137268, 'attributes': ['busy', ' bright', ' colorful', ' urban', ' lively']}, {'object_id': 429722, 'name': 'sky', 'bbox': [10, 0, 499, 259], 'area': 126651, 'attributes': ['busy', ' bright', ' colorful', ' lively', ' neon', ' urban']}, {'object_id': 429703, 'name': 'skies', 'bbox': [76, 4, 500, 240], 'area': 100064, 'attributes': ['busy', ' bright', ' urban', ' neon', ' lively']}]","[{'subject_id': 429715, 'object_id': 429737, 'relationships': ['inside']}, {'subject_id': 429702, 'object_id': 429703, 'relationships': ['above', ' in front of']}, {'subject_id': 429715, 'object_id': 429736, 'relationships': ['inside']}, {'subject_id': 429719, 'object_id': 429706, 'relationships': ['on', ' at', ' by', ' from', ' to', ' near', ' parked on', ' driving on']}, {'subject_id': 429741, 'object_id': 429742, 'relationships': ['under']}, {'subject_id': 429704, 'object_id': 429705, 'relationships': ['behind']}, {'subject_id': 429715, 'object_id': 429735, 'relationships': ['inside']}, {'subject_id': 429720, 'object_id': 429706, 'relationships': ['on', ' above']}, {'subject_id': 429715, 'object_id': 429707, 'relationships': ['next to', ' part of']}, {'subject_id': 429706, 'object_id': 429707, 'relationships': ['next to', ' in front of']}]"
2397497,[],[]
2392886,"[{'object_id': 476559, 'name': 'snow', 'bbox': [1, 103, 497, 372], 'area': 133424, 'attributes': ['white', ' glistening', ' powdery']}, {'object_id': 476541, 'name': 'sky', 'bbox': [2, 0, 497, 162], 'area': 80190, 'attributes': ['snowy', ' bright', ' mountainous']}, {'object_id': 476548, 'name': 'mountain', 'bbox': [2, 116, 499, 249], 'area': 66101, 'attributes': ['snowy', ' tall', ' white']}, {'object_id': 476542, 'name': 'hill', 'bbox': [0, 112, 203, 226], 'area': 23142, 'attributes': ['snowy', ' steep', ' high']}, {'object_id': 3825138, 'name': 'person', 'bbox': [312, 268, 337, 303], 'area': 875, 'attributes': ['person: skiing', ' bundled up', ' alone']}]","[{'subject_id': 476552, 'object_id': 476546, 'relationships': ['near', ' with', ' behind', ' in front of', ' next to', ' beside', ' skiing with', ' snowboarding with']}]"
2389920,"[{'object_id': 1255979, 'name': 'curtains', 'bbox': [282, 24, 355, 42], 'area': 1314, 'attributes': ['beige', ' patterned']}, {'object_id': 1255997, 'name': 'floor lamp', 'bbox': [262, 35, 278, 79], 'area': 704, 'attributes': ['silver', ' tall', ' bright']}, {'object_id': 1256010, 'name': 'curtains', 'bbox': [482, 27, 500, 62], 'area': 630, 'attributes': ['white', ' patterned']}, {'object_id': 1255996, 'name': 'small lamp', 'bbox': [83, 42, 102, 63], 'area': 399, 'attributes': ['dim', ' small', ' round']}]",[]
2388820,"[{'object_id': 670373, 'name': 'teddy bear', 'bbox': [99, 101, 269, 418], 'area': 53890, 'attributes': ['brown', ' plush', ' stuffed', ' large', ' sleepy', ' striped', ' soft']}, {'object_id': 670380, 'name': 'pajamas', 'bbox': [114, 223, 241, 322], 'area': 12573, 'attributes': ['blue', ' white', ' striped', ' cotton']}, {'object_id': 670398, 'name': 'women', 'bbox': [27, 82, 352, 119], 'area': 12025, 'attributes': ['brown', ' large', ' plush', ' stuffed', ' teddy bear']}, {'object_id': 670387, 'name': 'woman', 'bbox': [51, 22, 101, 188], 'area': 8300, 'attributes': ['middle-aged', ' smiling', ' bespectacled', ' ginger']}, {'object_id': 670400, 'name': 'bear', 'bbox': [132, 86, 205, 124], 'area': 2774, 'attributes': ['brown', ' plush', ' stuffed', ' sleepy', ' oversized']}]","[{'subject_id': 670373, 'object_id': 670379, 'relationships': ['on']}, {'subject_id': 670383, 'object_id': 670374, 'relationships': ['on', ' above']}, {'subject_id': 670373, 'object_id': 670380, 'relationships': ['wearing']}, {'subject_id': 670380, 'object_id': 670373, 'relationships': ['worn by']}]"
2385496,"[{'object_id': 1296166, 'name': 'sky', 'bbox': [185, 18, 332, 82], 'area': 9408, 'attributes': ['blue', ' clear']}, {'object_id': 1296171, 'name': 'pants', 'bbox': [302, 180, 378, 262], 'area': 6232, 'attributes': ['blue', ' snow', ' ski']}, {'object_id': 1296175, 'name': 'hill', 'bbox': [21, 147, 95, 217], 'area': 5180, 'attributes': ['snowy', ' steep']}, {'object_id': 1296177, 'name': 'coat', 'bbox': [302, 118, 356, 189], 'area': 3834, 'attributes': ['black', ' warm', ' waterproof', ' zippered', ' hooded']}, {'object_id': 1296181, 'name': 'poles', 'bbox': [277, 181, 307, 270], 'area': 2670, 'attributes': ['red', ' white', ' blue', ' striped']}]",[]
